pmid,title,why_false_positive,primary_entity,abstract,resource_url,ling_score,setfit_confidence,pattern_count,true_fp,notes
32449936,CVCDAP: an integrated platform for molecular and clinical analysis of cancer virtual cohorts.,"usage: ""analysis of/using""; methodology: ""platform for""; biology: cancer study; biology: clinical study",cvcdap,"Recent large-scale multi-omics studies resulted in quick accumulation of an overwhelming amount of cancer-related data, which provides an unprecedented resource to interrogate diverse questions. While certain existing web servers are valuable and widely used, analysis and visualization functions with regard to re-investigation of these data at cohort level are not adequately addressed. Here, we present CVCDAP, a web-based platform to deliver an interactive and customizable toolbox off the shelf for cohort-level analysis of TCGA and CPTAC public datasets, as well as user uploaded datasets. CVCDAP allows flexible selection of patients sharing common molecular and/or clinical characteristics across multiple studies as a virtual cohort, and provides dozens of built-in customizable tools for seamless genomic, transcriptomic, proteomic and clinical analysis of a single virtual cohort, as well as, to compare two virtual cohorts with relevance. The flexibility and analytic competence of CVCDAP empower experimental and clinical researchers to identify new molecular mechanisms and develop potential therapeutic approaches, by building and analyzing virtual cohorts for their subject of interests. We demonstrate that CVCDAP can conveniently reproduce published findings and reveal novel insights by two applications. The CVCDAP web server is freely available at https://omics.bjcancer.org/cvcdap/.",https://omics.bjcancer.org/cvcdap/,6,,4,N,platform includes housed data
28784477,An automated ranking platform for machine learning regression models for meat spoilage prediction using multi-spectral imaging and metabolic profiling.,"usage: ""using [resource]""; methodology: ""platform for""; methodology: ""prediction""; methodology: ""machine learning""",,"Over the past decade, analytical approaches based on vibrational spectroscopy, hyperspectral/multispectral imagining and biomimetic sensors started gaining popularity as rapid and efficient methods for assessing food quality, safety and authentication; as a sensible alternative to the expensive and time-consuming conventional microbiological techniques. Due to the multi-dimensional nature of the data generated from such analyses, the output needs to be coupled with a suitable statistical approach or machine-learning algorithms before the results can be interpreted. Choosing the optimum pattern recognition or machine learning approach for a given analytical platform is often challenging and involves a comparative analysis between various algorithms in order to achieve the best possible prediction accuracy. In this work, ""MeatReg"", a web-based application is presented, able to automate the procedure of identifying the best machine learning method for comparing data from several analytical techniques, to predict the counts of microorganisms responsible of meat spoilage regardless of the packaging system applied. In particularly up to 7 regression methods were applied and these are ordinary least squares regression, stepwise linear regression, partial least square regression, principal component regression, support vector regression, random forest and k-nearest neighbours. MeatReg"" was tested with minced beef samples stored under aerobic and modified atmosphere packaging and analysed with electronic nose, HPLC, FT-IR, GC-MS and Multispectral imaging instrument. Population of total viable count, lactic acid bacteria, pseudomonads, Enterobacteriaceae and B. thermosphacta, were predicted. As a result, recommendations of which analytical platforms are suitable to predict each type of bacteria and which machine learning methods to use in each case were obtained. The developed system is accessible via the link: www.sorfml.com.",http://www.sorfml.com,,0.69800526,4,Y,
32436933,iWhale: a computational pipeline based on Docker and SCons for detection and annotation of somatic variants in cancer WES data.,"usage: ""based on/approach""; methodology: ""pipeline""; methodology: ""computational""; biology: cancer study",iwhale,"Whole exome sequencing (WES) is a powerful approach for discovering sequence variants in cancer cells but its time effectiveness is limited by the complexity and issues of WES data analysis. Here we present iWhale, a customizable pipeline based on Docker and SCons, reliably detecting somatic variants by three complementary callers (MuTect2, Strelka2 and VarScan2). The results are combined to obtain a single variant call format file for each sample and variants are annotated by integrating a wide range of information extracted from several reference databases, ultimately allowing variant and gene prioritization according to different criteria. iWhale allows users to conduct a complex series of WES analyses with a powerful yet customizable and easy-to-use tool, running on most operating systems (macOs, GNU/Linux and Windows). iWhale code is freely available at https://github.com/alexcoppe/iWhale and the docker image is downloadable from https://hub.docker.com/r/alexcoppe/iwhale.",https://hub.docker.com/r/alexcoppe/iwhale,7,,4,Y,
33560568,"Update of the Pompe variant database for the prediction of clinical phenotypes: Novel disease-associated variants, common sequence variants, and results from newborn screening.","methodology: ""prediction""; biology: disease study; biology: clinical study; biology: variant study",,"Pompe disease is an inherited disorder caused by disease-associated variants in the acid α-glucosidase gene (GAA). The Pompe disease GAA variant database (http://www.pompevariantdatabase.nl) is a curated, open-source, disease-specific database, and lists disease-associated GAA variants, in silico predictions, and clinical phenotypes reported until 2016. Here, we provide an update to include 226 disease-associated variants that were published until 2020. We also listed 148 common GAA sequence variants that do not cause Pompe disease. GAA variants with unknown severity that were identified only in newborn screening programs were listed as a new feature to indicate the reason why phenotypes were still unknown. Expression studies were performed for common missense variants to predict their severity. The updated Pompe disease GAA variant database now includes 648 disease-associated variants, 26 variants from newborn screening, and 237 variants with unknown severity. Regular updates of the Pompe disease GAA variant database will be required to improve genetic counseling and the study of genotype-phenotype relationships.",http://www.pompevariantdatabase.nl,,0.6025414,4,N,update of database
34174938,"Advancing clinical genomics and precision medicine with GVViZ: FAIR bioinformatics platform for variable gene-disease annotation, visualization, and expression analysis.","methodology: ""platform for""; biology: expression study; biology: disease study; biology: clinical study",gvviz,"<h4>Background</h4>Genetic disposition is considered critical for identifying subjects at high risk for disease development. Investigating disease-causing and high and low expressed genes can support finding the root causes of uncertainties in patient care. However, independent and timely high-throughput next-generation sequencing data analysis is still a challenge for non-computational biologists and geneticists.<h4>Results</h4>In this manuscript, we present a findable, accessible, interactive, and reusable (FAIR) bioinformatics platform, i.e., GVViZ (visualizing genes with disease-causing variants). GVViZ is a user-friendly, cross-platform, and database application for RNA-seq-driven variable and complex gene-disease data annotation and expression analysis with a dynamic heat map visualization. GVViZ has the potential to find patterns across millions of features and extract actionable information, which can support the early detection of complex disorders and the development of new therapies for personalized patient care. The execution of GVViZ is based on a set of simple instructions that users without a computational background can follow to design and perform customized data analysis. It can assimilate patients' transcriptomics data with the public, proprietary, and our in-house developed gene-disease databases to query, easily explore, and access information on gene annotation and classified disease phenotypes with greater visibility and customization. To test its performance and understand the clinical and scientific impact of GVViZ, we present GVViZ analysis for different chronic diseases and conditions, including Alzheimer's disease, arthritis, asthma, diabetes mellitus, heart failure, hypertension, obesity, osteoporosis, and multiple cancer disorders. The results are visualized using GVViZ and can be exported as image (PNF/TIFF) and text (CSV) files that include gene names, Ensembl (ENSG) IDs, quantified abundances, expressed transcript lengths, and annotated oncology and non-oncology diseases.<h4>Conclusions</h4>We emphasize that automated and interactive visualization should be an indispensable component of modern RNA-seq analysis, which is currently not the case. However, experts in clinics and researchers in life sciences can use GVViZ to visualize and interpret the transcriptomics data, making it a powerful tool to study the dynamics of gene expression and regulation. Furthermore, with successful deployment in clinical settings, GVViZ has the potential to enable high-throughput correlations between patient diagnoses based on clinical and transcriptomics data.",,,0.70660824,4,Y,platform includes housed data
24928667,OutbreakTools: a new platform for disease outbreak analysis using the R software.,"usage: ""using [resource]""; usage: ""analysis of/using""; methodology: ""platform for""; biology: disease study",,"The investigation of infectious disease outbreaks relies on the analysis of increasingly complex and diverse data, which offer new prospects for gaining insights into disease transmission processes and informing public health policies. However, the potential of such data can only be harnessed using a number of different, complementary approaches and tools, and a unified platform for the analysis of disease outbreaks is still lacking. In this paper, we present the new R package OutbreakTools, which aims to provide a basis for outbreak data management and analysis in R. OutbreakTools is developed by a community of epidemiologists, statisticians, modellers and bioinformaticians, and implements classes and methods for storing, handling and visualizing outbreak data. It includes real and simulated outbreak datasets. Together with a number of tools for infectious disease epidemiology recently made available in R, OutbreakTools contributes to the emergence of a new, free and open-source platform for the analysis of disease outbreaks.",,,0.7203454,4,Y,
27153000,RVTESTS: an efficient and comprehensive tool for rare variant association analysis using sequence data.,"usage: ""using [resource]""; usage: ""analysis of/using""; methodology: ""tool for""; biology: variant study",rvtests,"<h4>Motivation</h4>Next-generation sequencing technologies have enabled the large-scale assessment of the impact of rare and low-frequency genetic variants for complex human diseases. Gene-level association tests are often performed to analyze rare variants, where multiple rare variants in a gene region are analyzed jointly. Applying gene-level association tests to analyze sequence data often requires integrating multiple heterogeneous sources of information (e.g. annotations, functional prediction scores, allele frequencies, genotypes and phenotypes) to determine the optimal analysis unit and prioritize causal variants. Given the complexity and scale of current sequence datasets and bioinformatics databases, there is a compelling need for more efficient software tools to facilitate these analyses. To answer this challenge, we developed RVTESTS, which implements a broad set of rare variant association statistics and supports the analysis of autosomal and X-linked variants for both unrelated and related individuals. RVTESTS also provides useful companion features for annotating sequence variants, integrating bioinformatics databases, performing data quality control and sample selection. We illustrate the advantages of RVTESTS in functionality and efficiency using the 1000 Genomes Project data.<h4>Availability and implementation</h4>RVTESTS is available on Linux, MacOS and Windows. Source code and executable files can be obtained at https://github.com/zhanxw/rvtests<h4>Contact</h4>zhanxw@gmail.com; goncalo@umich.edu; dajiang.liu@outlook.com<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online.",,4,,4,Y,
30351394,VCPA: genomic variant calling pipeline and data management tool for Alzheimer's Disease Sequencing Project.,"methodology: ""tool for""; methodology: ""pipeline""; biology: disease study; biology: variant study",vcpa,"<h4>Summary</h4>We report VCPA, our SNP/Indel Variant Calling Pipeline and data management tool used for the analysis of whole genome and exome sequencing (WGS/WES) for the Alzheimer's Disease Sequencing Project. VCPA consists of two independent but linkable components: pipeline and tracking database. The pipeline, implemented using the Workflow Description Language and fully optimized for the Amazon elastic compute cloud environment, includes steps from aligning raw sequence reads to variant calling using GATK. The tracking database allows users to view job running status in real time and visualize >100 quality metrics per genome. VCPA is functionally equivalent to the CCDG/TOPMed pipeline. Users can use the pipeline and the dockerized database to process large WGS/WES datasets on Amazon cloud with minimal configuration.<h4>Availability and implementation</h4>VCPA is released under the MIT license and is available for academic and nonprofit use for free. The pipeline source code and step-by-step instructions are available from the National Institute on Aging Genetics of Alzheimer's Disease Data Storage Site (http://www.niagads.org/VCPA).<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online.",http://www.niagads.org/VCPA,4,,4,N,platform includes housed data
29360930,"ADEPTUS: a discovery tool for disease prediction, enrichment and network analysis based on profiles from many diseases.","usage: ""based on/approach""; methodology: ""tool for""; methodology: ""prediction""; biology: disease study",deptus,"<h4>Motivation</h4>Large-scale publicly available genomic data on many disease phenotypes could improve our understanding of the molecular basis of disease. Tools that undertake this challenge by jointly analyzing multiple phenotypes are needed.<h4>Results</h4>ADEPTUS is a web-tool that enables various functional genomics analyses based on a high-quality curated database spanning >38, 000 gene expression profiles and >100 diseases. It offers four types of analysis. (i) For a gene list provided by the user it computes disease ontology (DO), pathway, and gene ontology (GO) enrichment and displays the genes as a network. (ii) For a given disease, it enables exploration of drug repurposing by creating a gene network summarizing the genomic events in it. (iii) For a gene of interest, it generates a report summarizing its behavior across several studies. (iv) It can predict the tissue of origin and the disease of a sample based on its gene expression or its somatic mutation profile. Such analyses open novel ways to understand new datasets and to predict primary site of cancer.<h4>Availability and implementation</h4>Data and tool: http://adeptus.cs.tau.ac.il/home Analyses: Supplementary Material.<h4>Contact</h4>rshamir@tau.ac.il.<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online.",http://adeptus.cs.tau.ac.il/home,4,,4,Y,
30864317,PLATYPUS: A Multiple-View Learning Predictive Framework for Cancer Drug Sensitivity Prediction.,"methodology: ""framework""; methodology: ""prediction""; biology: cancer study; biology: drug study",platypus,"Cancer is a complex collection of diseases that are to some degree unique to each patient. Precision oncology aims to identify the best drug treatment regime using molecular data on tumor samples. While omics-level data is becoming more widely available for tumor specimens, the datasets upon which computational learning methods can be trained vary in coverage from sample to sample and from data type to data type. Methods that can 'connect the dots' to leverage more of the information provided by these studies could offer major advantages for maximizing predictive potential. We introduce a multi-view machinelearning strategy called PLATYPUS that builds 'views' from multiple data sources that are all used as features for predicting patient outcomes. We show that a learning strategy that finds agreement across the views on unlabeled data increases the performance of the learning methods over any single view. We illustrate the power of the approach by deriving signatures for drug sensitivity in a large cancer cell line database. Code and additional information are available from the PLATYPUS website https://sysbiowiki.soe.ucsc.edu/platypus.",https://sysbiowiki.soe.ucsc.edu/platypus,4,,4,Y,
28356340,"Analysis of Cardiac Myocyte Maturation Using CASAAV, a Platform for Rapid Dissection of Cardiac Myocyte Gene Function In Vivo.","usage: ""using [resource]""; usage: ""analysis of/using""; methodology: ""platform for""; biology: gene function",casaav,"<h4>Rationale</h4>Loss-of-function studies in cardiac myocytes (CMs) are currently limited by the need for appropriate conditional knockout alleles. The factors that regulate CM maturation are poorly understood. Previous studies on CM maturation have been confounded by heart dysfunction caused by whole organ gene inactivation.<h4>Objective</h4>To develop a new technical platform to rapidly characterize cell-autonomous gene function in postnatal murine CMs and apply it to identify genes that regulate transverse tubules (T-tubules), a hallmark of mature CMs.<h4>Methods and results</h4>We developed CRISPR/Cas9/AAV9-based somatic mutagenesis, a platform in which AAV9 delivers tandem guide RNAs targeting a gene of interest and cardiac troponin-T promoter-driven Cre to <i>Rosa</i><sup><i>Cas9GFP/Cas9GFP</i></sup> neonatal mice. When directed against junctophilin-2 (<i>Jph2</i>), a gene previously implicated in T-tubule maturation, we achieved efficient, rapid, and CM-specific JPH2 depletion. High-dose AAV9 ablated JPH2 in 64% CMs and caused lethal heart failure, whereas low-dose AAV9 ablated JPH2 in 22% CMs and preserved normal heart function. In the context of preserved heart function, CMs lacking JPH2 developed T-tubules that were nearly morphologically normal, indicating that JPH2 does not have a major, cell-autonomous role in T-tubule maturation. However, in hearts with severe dysfunction, both adeno-associated virus-transduced and nontransduced CMs exhibited T-tubule disruption, which was more severe in the transduced subset. These data indicate that cardiac dysfunction disrupts T-tubule structure and that JPH2 protects T-tubules in this context. We then used CRISPR/Cas9/AAV9-based somatic mutagenesis to screen 8 additional genes for required, cell-autonomous roles in T-tubule formation. We identified RYR2 (Ryanodine Receptor-2) as a novel, cell-autonomously required T-tubule maturation factor.<h4>Conclusions</h4>CRISPR/Cas9/AAV9-based somatic mutagenesis is a powerful tool to study cell-autonomous gene functions. Genetic mosaics are invaluable to accurately define cell-autonomous gene function. JPH2 has a minor role in normal T-tubule maturation but is required to stabilize T-tubules in the failing heart. RYR2 is a novel T-tubule maturation factor.",,3,,4,Y,
34184738,DeepIPs: comprehensive assessment and computational identification of phosphorylation sites of SARS-CoV-2 infection using a deep learning-based approach.,"usage: ""using [resource]""; usage: ""based on/approach""; methodology: ""deep learning""; methodology: ""computational""",,"The rapid spread of SARS-CoV-2 infection around the globe has caused a massive health and socioeconomic crisis. Identification of phosphorylation sites is an important step for understanding the molecular mechanisms of SARS-CoV-2 infection and the changes within the host cells pathways. In this study, we present DeepIPs, a first specific deep-learning architecture to identify phosphorylation sites in host cells infected with SARS-CoV-2. DeepIPs consists of the most popular word embedding method and convolutional neural network-long short-term memory network architecture to make the final prediction. The independent test demonstrates that DeepIPs improves the prediction performance compared with other existing tools for general phosphorylation sites prediction. Based on the proposed model, a web-server called DeepIPs was established and is freely accessible at http://lin-group.cn/server/DeepIPs. The source code of DeepIPs is freely available at the repository https://github.com/linDing-group/DeepIPs.",http://lin-group.cn/server/DeepIPs,7,,4,Y,
30441365,"A Clinical Decision Support Platform for the Risk Stratification, Diagnosis, and Prediction of Coronary Artery Disease Evolution.","methodology: ""platform for""; methodology: ""prediction""; biology: disease study; biology: clinical study",,"SMARTool aims to perform accurate risk stratification of coronary artery disease patients as well as to provide early diagnosis and prediction of disease progression. This is achieved by the acquisition of data from about 263 patients including computed tomography angiographic images, clinical, molecular, biohumoral, exposome, inflammatory and omics data. Data are collected in two time points with a followup period of approximately 5 years. In the first step, data mining techniques are implemented for the estimation of risk stratification. In the next step, patients, who are classified as medium to high risk are considered for coronary imaging and computational modelling of blood flow, plaque growth and stenosis severity assessment. Additionally, patients with increased stenosis are selected for stent deployment. All the above modules are integrated in a cloud-based platform for the clinical decision support (CDSS) of patients with coronary artery disease. The work presents preliminary results employing the SMARTool dataset as well as the concept and architecture of the under development platform.",,,0.64436954,4,Y,
