pmid,title,has_url,is_false_positive,confidence,reason
22649282,"Florabank1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region).",True,N,high,Title contains 'database'; has URL
24143170,"Can inferred provenance and its visualisation be used to detect erroneous annotation? A case study using UniProtKB.",True,Y,high,Title focuses on methodology ('can...be used to detect'); case study paper
33539888,"PPD: A Manually Curated Database for Experimentally Verified Prokaryotic Promoters.",True,N,high,Title contains 'Database'; has URL
21960044,"Comparison of embryonic expression within multigene families using the FlyExpress discovery platform reveals more spatial than temporal divergence.",False,Y,high,Title describes analysis/comparison study; no URL confirms not a resource
23973272,"An innovative portal for rare genetic diseases research: the semantic Diseasecard.",True,N,high,Title describes 'portal' for research data; has URL
23203876,"OrtholugeDB: a bacterial and archaeal orthology resource for improved comparative genomic analysis.",True,N,high,Database indicated by 'DB' suffix and 'resource'; has URL
"25052702, 30407590","Standardized description of scientific evidence using the Evidence Ontology (ECO).",True,N,high,Title describes ontology resource for standardization; has URL
"29301376, 34014674","SistematX, an Online Web-Based Cheminformatics Tool for Data Management of Secondary Metabolites.",True,N,medium,Tool for 'data management' suggests database component; has URL
33270889,"MethHC 2.0: information repository of DNA methylation and gene expression in human cancer.",True,N,high,Title contains 'repository'; has URL
33449976,"rfaRm: An R client-side interface to facilitate the analysis of the Rfam database of RNA families.",False,Y,high,Title describes client interface/tool not the database itself; no URL
21544197,"CORE: a phylogenetically-curated 16S rDNA database of the core oral microbiome.",True,N,high,Title contains 'database'; has URL
29040670,"Virus taxonomy: the database of the International Committee on Taxonomy of Viruses (ICTV).",True,N,high,Title explicitly mentions 'database'; has URL
30285109,"LncRNADisease 2.0: an updated database of long non-coding RNA-associated diseases.",True,N,high,Title contains 'database'; has URL
"28541377, 32449934","ASAP: a web-based platform for the analysis and interactive visualization of single-cell RNA-seq data.",True,N,medium,Platform for analysis with data; URL present suggests data hosting
29745830,"MEGADOCK-Web: an integrated database of high-throughput structure-based protein-protein interaction predictions.",True,N,high,Title contains 'database'; has URL
33287903,"KVarPredDB: a database for predicting pathogenicity of missense sequence variants of keratin genes associated with genodermatoses.",True,N,high,Database indicated by 'DB' suffix; has URL
23193254,"UCNEbase--a database of ultraconserved non-coding elements and genomic regulatory blocks.",True,N,high,Title contains 'database'; has URL
22543366,"DAVID-WS: a stateful web service to facilitate gene/protein list analysis.",True,Y,medium,Title emphasizes 'web service' for analysis not data storage
25877638,"An update of miRNASNP database for better SNP selection by GWAS data, miRNA expression and online tools.",True,N,high,Title contains 'database'; has URL
22369658,"DetoxiProt: an integrated database for detoxification proteins.",True,N,high,Title contains 'database'; has URL
21177658,"IsoBase: a database of functionally related proteins across PPI networks.",True,N,high,Title contains 'database'; has URL
22397686,"SpiroESTdb: a transcriptome database and online tool for sparganum expressed sequences tags.",True,N,high,Title contains 'database'; has URL
23457042,"RCPedia: a database of retrocopied genes.",True,N,high,Title contains 'database'; has URL
34241085,"OCELOT: An infrastructure for data-driven research to discover and design crystalline organic semiconductors.",True,N,medium,Infrastructure for data-driven research suggests data repository; has URL
23286825,"NeuroDNet - an open source platform for constructing and analyzing neurodegenerative disease networks.",True,N,medium,Platform for data analysis with network data; has URL
23180778,"The Zebrafish Insertion Collection (ZInC): a web based, searchable collection of zebrafish mutations generated by DNA insertion.",True,N,high,Title describes 'collection' of mutations; has URL
22592381,"IRView: a database and viewer for protein interacting regions.",True,N,high,Title contains 'database'; has URL
26637529,"ONRLDB--manually curated database of experimentally validated ligands for orphan nuclear receptors: insights into new drug discovery.",True,N,high,Database indicated by 'DB' suffix; has URL
"23172289, 23494302","DictyBase 2013: integrating multiple Dictyostelid species.",True,N,high,Database indicated by 'Base' suffix; has URL
29036667,"DISNOR: a disease network open resource.",True,N,high,Title contains 'resource'; has URL
"26586801, 29140464","HOCOMOCO: expansion and enhancement of the collection of transcription factor binding sites models.",True,N,high,Title describes 'collection' of data models; has URL
"22135290, 25404129","PoSSuM: a database of similar protein-ligand binding and putative pockets.",True,N,high,Title contains 'database'; has URL
28651544,"SalmoBase: an integrated molecular data resource for Salmonid species.",True,N,high,Title contains 'resource' and 'Base' suffix; has URL
33007622,"DINAX- a comprehensive database of inherited ataxias.",True,N,high,Title contains 'database'; has URL
26822210,"ASDB: a resource for probing protein functions with small molecules.",True,N,high,Title contains 'resource' and 'DB' suffix; has URL
27738138,"The Candida Genome Database (CGD): incorporation of Assembly 22, systematic identifiers and visualization of high throughput sequencing data.",True,N,high,Title explicitly contains 'Database'; has URL
26582924,"enviPath--The environmental contaminant biotransformation pathway resource.",True,N,high,Title contains 'resource'; has URL
26400179,"hPSCreg--the human pluripotent stem cell registry.",True,N,high,Title describes 'registry' which is a data repository; has URL
22489867,"EnzyBase: a novel database for enzybiotic studies.",True,N,high,Title contains 'database' and 'Base' suffix; has URL
30235322,"GC4S: A bioinformatics-oriented Java software library of reusable graphical user interface components.",True,Y,high,Title describes software library not a data resource; focuses on GUI components
25416797,"DoRiNA 2.0--upgrading the doRiNA database of RNA interactions in post-transcriptional regulation.",True,N,high,Title contains 'database'; has URL
30339214,"AutismKB 2.0: a knowledgebase for the genetic evidence of autism spectrum disorder.",False,N,medium,Title contains 'knowledgebase' indicating data resource but lacks URL
29897488,"GlycoStore: a database of retention properties for glycan analysis.",True,N,high,Title contains 'database'; has URL
24885079,"fPoxDB: fungal peroxidase database for comparative genomics.",True,N,high,Database indicated by 'DB' suffix; has URL
31680159,"EPD in 2020: enhanced data visualization and extension to ncRNA promoters.",True,N,high,Database update indicated by year; has URL
"27924043, 31642487","AraPheno: a public database for Arabidopsis thaliana phenotypes.",True,N,high,Title contains 'database'; has URL
34107869,"PINIR: a comprehensive information resource for Pin-II type protease inhibitors.",True,N,high,Title contains 'resource'; has URL
21695066,"GENT: gene expression database of normal and tumor tissues.",True,N,high,Title contains 'database'; has URL
"23161684, 25356683","DcGO: database of domain-centric ontologies on functions, phenotypes, diseases and more.",True,N,high,Title contains 'database'; has URL
25740460,"PhytoREF: a reference database of the plastidial 16S rRNA gene of photosynthetic eukaryotes with curated taxonomy.",True,N,high,Title contains 'database'; has URL
29846545,"CBD: a biomarker database for colorectal cancer.",True,N,high,Title contains 'database'; has URL
26507856,"Nucleotide binding database NBDB--a collection of sequence motifs with specific protein-ligand interactions.",True,N,high,Title contains 'database' and 'collection'; has URL
32785571,"SELAdb: A database of exonic variants in a Brazilian population referred to a quaternary medical center in São Paulo.",True,N,high,Database indicated by 'db' suffix; has URL
24705204,"SysPTM 2.0: an updated systematic resource for post-translational modification.",True,N,high,Title contains 'resource'; has URL
25030426,"HelicoBase: a Helicobacter genomic resource and analysis platform.",True,N,high,Title contains 'resource' and 'Base' suffix; has URL
28453687,"GDISC: a web portal for integrative analysis of gene-drug interaction for survival in cancer.",True,N,medium,Portal for integrative analysis with data; has URL
32758136,"GSDB: a database of 3D chromosome and genome structures reconstructed from Hi-C data.",True,N,high,Database indicated by 'DB' suffix; has URL
"23955518, 29668970","MitoFish and MitoAnnotator: a mitochondrial genome database of fish with an accurate and automatic annotation pipeline.",True,N,high,Title contains 'database'; has URL
33382885,"CorkOakDB-The Cork Oak Genome Database Portal.",True,N,high,Title explicitly contains 'Database Portal'; has URL
23220571,"SM2miR: a database of the experimentally validated small molecules' effects on microRNA expression.",True,N,high,Title contains 'database'; has URL
31599330,"LSD 3.0: a comprehensive resource for the leaf senescence research community.",True,N,high,Title contains 'resource'; has URL
22948725,"The Human Gene Mutation Database (HGMD) and its exploitation in the fields of personalized genomics and molecular evolution.",True,N,high,Title explicitly contains 'Database'; has URL
22144203,"DeepBase: annotation and discovery of microRNAs and other noncoding RNAs from deep-sequencing data.",True,N,high,Title contains 'Base' suffix indicating database; has URL
23725466,"PMTED: a plant microRNA target expression database.",True,N,high,Database indicated by 'D' suffix; has URL
"27924032, 30395294, 33152079","The antiSMASH database, a comprehensive database of microbial secondary metabolite biosynthetic gene clusters.",True,N,high,Title explicitly contains 'database' twice; has URL
26586809,"probeBase--an online resource for rRNA-targeted oligonucleotide probes and primers: new features 2016.",True,N,high,Title contains 'resource' and 'Base' suffix; has URL
29321052,"ASGDB: a specialised genomic resource for interpreting Anopheles sinensis insecticide resistance.",True,N,high,Database indicated by 'DB' suffix and 'resource'; has URL
26635392,"COMBREX-DB: an experiment centered database of protein function: knowledge, predictions and knowledge gaps.",False,N,medium,Title contains 'database' indicating data resource but lacks URL
24079801,"Bolbase: a comprehensive genomics database for Brassica oleracea.",True,N,high,Title contains 'database' and 'base' suffix; has URL
29648583,"LipidPedia: a comprehensive lipid knowledgebase.",True,N,high,Title contains 'knowledgebase'; has URL
31086734,"OsteoporosAtlas: a human osteoporosis-related gene database.",True,N,high,Title contains 'database' and 'Atlas'; has URL
23497033,"phiBIOTICS: catalogue of therapeutic enzybiotics, relevant research studies and practical applications.",True,N,high,Title describes 'catalogue' of data; has URL
25273106,"Curation, integration and visualization of bacterial virulence factors in PATRIC.",True,N,high,Title focuses on data curation and integration in database; has URL
25887129,"dbVOR: a database system for importing pedigree, phenotype and genotype data and exporting selected subsets.",True,N,high,Title contains 'database system'; has URL
22139919,"Nematode.net update 2011: addition of data sets and tools featuring next-generation sequencing data.",True,N,high,Database update with datasets; has URL
23369322,"HDAM: a resource of human disease associated mutations from next generation sequencing studies.",True,N,high,Title contains 'resource'; has URL
32766766,"LncR2metasta: a manually curated database for experimentally supported lncRNAs during various cancer metastatic events.",True,N,high,Title contains 'database'; has URL
32986834,"The ModelSEED Biochemistry Database for the integration of metabolic annotations and the reconstruction, comparison and analysis of metabolic models for plants, fungi and microbes.",True,N,high,Title explicitly contains 'Database'; has URL
34111777,"PID: An integrative and comprehensive platform of plant intron.",True,N,high,Platform for comprehensive data integration; has URL
24790154,"dbGSH: a database of S-glutathionylation.",True,N,high,Database indicated by 'db' prefix; has URL
22523575,"TumorHoPe: a database of tumor homing peptides.",True,N,high,Title contains 'database'; has URL
27412095,"SSBD: a database of quantitative data of spatiotemporal dynamics of biological phenomena.",True,N,high,Database indicated by 'D' suffix; has URL
24364888,"SGR: an online genomic resource for the woodland strawberry.",True,N,high,Title contains 'resource'; has URL
23172287,"PhosPhAt goes kinases--searchable protein kinase target information in the plant phosphorylation site database PhosPhAt.",True,N,high,Title explicitly mentions 'database'; has URL
28529082,"Rice Expression Database (RED): An integrated RNA-Seq-derived gene expression database for rice.",True,N,high,Title explicitly contains 'Database' twice; has URL
22369201,"Liverome: a curated database of liver cancer-related gene signatures with self-contained context information.",True,N,high,Title contains 'database'; has URL
30999860,"HumCFS: a database of fragile sites in human chromosomes.",True,N,high,Title contains 'database'; has URL
25522231,"funRNA: a fungi-centered genomics platform for genes encoding key components of RNAi.",True,N,high,Platform for genomics data; has URL
25505093,"diXa: a data infrastructure for chemical safety assessment.",True,N,high,Title describes 'data infrastructure'; has URL
32228442,"Transcriptome Ortholog Alignment Sequence Tools (TOAST) for phylogenomic dataset assembly.",False,Y,high,Title emphasizes 'Tools for' indicating methodology not data resource; no URL
31688925,"Enzyme annotation in UniProtKB using Rhea.",True,N,high,Title describes annotation resource using Rhea; has URL
31103066,"The Placental Atlas Tool (PAT): A collaborative research and discovery platform for the placental research community.",True,N,high,Title contains 'Atlas' and platform for data; has URL
26980520,"PolyQ 2.0: an improved version of PolyQ, a database of human polyglutamine proteins.",True,N,high,Title contains 'database'; has URL
33507271,"SinEx DB 2.0 update 2020: database for eukaryotic single-exon coding sequences.",True,N,high,Database indicated by 'DB' suffix; has URL
33985433,"IPD 2.0: To derive insights from an evolving SARS-CoV-2 genome.",True,N,medium,Database implied by 'D' suffix and version number; has URL
33264402,"HERB: a high-throughput experiment- and reference-guided database of traditional Chinese medicine.",True,N,high,Title contains 'database'; has URL
24293654,"The SEED and the Rapid Annotation of microbial genomes using Subsystems Technology (RAST).",True,N,high,Database resource for genome annotation; has URL
22123736,"The UniProt-GO Annotation database in 2011.",True,N,high,Title explicitly contains 'database'; has URL
29220476,"eGenPub, a text mining system for extending computationally mapped bibliography for UniProt Knowledgebase by capturing centrality.",False,Y,high,Title describes 'text mining system' for methodology; no URL
31583637,"Explore Protein-Protein Interactions for Cancer Target Discovery Using the OncoPPi Portal.",False,Y,high,Title focuses on methodology ('Using') not resource description; no URL
22753780,"AutoBind: automatic extraction of protein-ligand-binding affinity data from biological literature.",True,Y,medium,Title emphasizes 'automatic extraction' methodology but has URL suggesting possible database
"24803509, 27899615","RAID: a comprehensive resource for human RNA-associated (RNA-RNA/RNA-protein) interaction.",True,N,high,Title contains 'resource'; has URL
23657089,"DDBJ read annotation pipeline: a cloud computing-based pipeline for high-throughput analysis of next-generation sequencing data.",True,Y,medium,Title emphasizes 'pipeline for' analysis but URL suggests data resource
"26476444, 34081107","PDBe: improved accessibility of macromolecular structure data from PDB and EMDB.",True,N,high,Database for structure data accessibility; has URL
25069839,"ELM: enhanced lowest common ancestor based method for detecting a pathogenic virus from a large sequence dataset.",True,Y,medium,Title emphasizes 'method for detecting' but has URL
26342919,"Geroprotectors.org: a new, structured and curated database of current therapeutic interventions in aging and age-related disease.",True,N,high,Title contains 'database'; has URL
29485625,"Datasets2Tools, repository and search engine for bioinformatics datasets, tools and canned analyses.",True,N,high,Title contains 'repository'; has URL
"24214988, 31555805","SAbDab: the structural antibody database.",True,N,high,Title explicitly contains 'database'; has URL
33677507,"HIR V2: a human interactome resource for the biological interpretation of differentially expressed genes via gene set linkage analysis.",True,N,high,Title contains 'resource'; has URL
25326082,"A PDB-wide, evolution-based assessment of protein-protein interfaces.",True,Y,medium,Title describes assessment/analysis study not primary resource
23084601,"PESNPdb: a comprehensive database of SNPs studied in association with pre-eclampsia.",True,N,high,Database indicated by 'db' suffix; has URL
21546359,"TparvaDB: a database to support Theileria parva vaccine development.",True,N,high,Database indicated by 'DB' suffix; has URL
29059379,"CirGRDB: a database for the genome-wide deciphering circadian genes and regulators.",True,N,high,Database indicated by 'DB' suffix; has URL
31665429,"DrugCombDB: a comprehensive database of drug combinations toward the discovery of combinatorial therapy.",True,N,high,Database indicated by 'DB' suffix; has URL
22102575,"YeTFaSCo: a database of evaluated yeast transcription factor sequence specificities.",True,N,high,Title contains 'database'; has URL
32382747,"RSVdb: a comprehensive database of transcriptome RNA structure.",True,N,high,Database indicated by 'db' suffix; has URL
23161677,"G4LDB: a database for discovering and studying G-quadruplex ligands.",True,N,high,Database indicated by 'DB' suffix; has URL
31598709,"DNMIVD: DNA methylation interactive visualization database.",True,N,high,Database indicated by 'D' suffix; has URL
32591816,"ExoBCD: a comprehensive database for exosomal biomarker discovery in breast cancer.",True,N,high,Title contains 'database'; has URL
24888447,"DBAASP: database of antimicrobial activity and structure of peptides.",True,N,high,Title contains 'database'; has URL
21300622,"FunSecKB: the Fungal Secretome KnowledgeBase.",True,N,high,Title contains 'KnowledgeBase'; has URL
23193263,"PrePPI: a structure-informed database of protein-protein interactions.",True,N,high,Title contains 'database'; has URL
31906602,"LLPSDB: a database of proteins undergoing liquid-liquid phase separation in vitro.",True,N,high,Database indicated by 'DB' suffix; has URL
23185330,"CyanoPhyChe: a database for physico-chemical properties, structure and biochemical pathway information of cyanobacterial proteins.",True,N,high,Title contains 'database'; has URL
33045721,"ViruSurf: an integrated database to investigate viral sequences.",True,N,high,Title contains 'database'; has URL
32345346,"REPIC: a database for exploring the N<sup>6</sup>-methyladenosine methylome.",True,N,high,Title contains 'database'; has URL
33326073,"AnnoLnc: A One-Stop Portal to Systematically Annotate Novel Human Long Noncoding RNAs.",True,N,high,Portal for systematic annotation with data; has URL
33151298,"GRNdb: decoding the gene regulatory networks in diverse human and mouse conditions.",True,N,high,Database indicated by 'db' suffix; has URL
25005261,"FmTFDb: a foxtail millet transcription factors database for expediting functional genomics in millets.",True,N,high,Database indicated by 'Db' suffix; has URL
24143056,"MAGICdb - Mango Genetic stocks Identification and Characterisation database.",True,N,high,Database indicated by 'db' suffix; has URL
25978092,"DBDiaSNP: An Open-Source Knowledgebase of Genetic Polymorphisms and Resistance Genes Related to Diarrheal Pathogens.",True,N,high,Title contains 'Knowledgebase'; has URL
28608363,"MiSynPat: An integrated knowledge base linking clinical, genetic, and structural data for disease-causing mutations in human mitochondrial aminoacyl-tRNA synthetases.",True,N,high,Title contains 'knowledge base'; has URL
30788500,"EnDisease: a manually curated database for enhancer-disease associations.",True,N,high,Title contains 'database'; has URL
29913065,"OptoBase: A Web Platform for Molecular Optogenetics.",True,N,high,Platform with 'Base' suffix indicating data resource; has URL
34269889,"B3Pdb: an archive of blood-brain barrier-penetrating peptides.",True,N,high,Database indicated by 'db' suffix and 'archive'; has URL
34738791,"AroCageDB: A Web-Based Resource for Aromatic Cage Binding Sites and Their Intrinsic Ligands.",True,N,high,Database indicated by 'DB' suffix and 'resource'; has URL
21781283,"DbMDR: a relational database for multidrug resistance genes as potential drug targets.",True,N,high,Database indicated by 'Db' prefix; has URL
29106630,"TranslatomeDB: a comprehensive database and cloud-based analysis platform for translatome sequencing data.",True,N,high,Database indicated by 'DB' suffix; has URL
25972521,"AtmiRNET: a web-based resource for reconstructing regulatory networks of Arabidopsis microRNAs.",True,N,high,Title contains 'resource'; has URL
25640659,"SecReT6: a web-based resource for type VI secretion systems found in bacteria.",True,N,high,Title contains 'resource'; has URL
23193279,"KIDFamMap: a database of kinase-inhibitor-disease family maps for kinase inhibitor selectivity and binding mechanisms.",True,N,high,Title contains 'database'; has URL
32117995,"Nc2Eye: A Curated ncRNAomics Knowledgebase for Bridging Basic and Clinical Research in Eye Diseases.",True,N,high,Title contains 'Knowledgebase'; has URL
32459338,"EpiRegio: analysis and retrieval of regulatory elements linked to genes.",True,N,medium,Title focuses on analysis/retrieval but has URL suggesting data resource
30445567,"OncoBase: a platform for decoding regulatory somatic mutations in human cancers.",True,N,high,Title contains 'Base' suffix indicating database; has URL
26615193,"PDBFlex: exploring flexibility in protein structures.",True,N,medium,Title focuses on exploring/analysis but has URL and database structure
26438539,"CRISPRz: a database of zebrafish validated sgRNAs.",True,N,high,Title contains 'database'; has URL
32597311,"OncotRF: an online resource for exploration of tRNA-derived fragments in human cancers.",True,N,high,Title contains 'resource'; has URL
22973284,"AT_CHLORO: A Chloroplast Protein Database Dedicated to Sub-Plastidial Localization.",True,N,high,Title explicitly contains 'Database'; has URL
30846808,"TACCO, a Database Connecting Transcriptome Alterations, Pathway Alterations and Clinical Outcomes in Cancers.",True,N,high,Title explicitly contains 'Database'; has URL
30357403,"EncoMPASS: an online database for analyzing structure and symmetry in membrane proteins.",True,N,high,Title contains 'database'; has URL
25378322,"UniPROBE, update 2015: new tools and content for the online database of protein-binding microarray data on protein-DNA interactions.",True,N,high,Title explicitly mentions 'database'; has URL
25953081,"MIsoMine: a genome-scale high-resolution data portal of expression, function and networks at the splice isoform level in the mouse.",True,N,high,Title contains 'data portal'; has URL
"23180796, 26602686, 30407520","Animal QTLdb: an improved database tool for livestock animal QTL/association data dissemination in the post-genome era.",True,N,high,Database indicated by 'db' suffix; has URL
26503253,"rVarBase: an updated database for regulatory features of human variants.",True,N,high,Title contains 'database' and 'Base' suffix; has URL
29077884,"HEDD: Human Enhancer Disease Database.",True,N,high,Database indicated by acronym expansion; has URL
34456903,"ImmuCellDB: An Indicative Database of Immune Cell Composition From Different Tissues and Disease Conditions in Mouse and Human.",True,N,high,Database indicated by 'DB' suffix; has URL
32442307,"SYNERGxDB: an integrative pharmacogenomic portal to identify synergistic drug combinations for precision oncology.",True,N,high,Database indicated by 'DB' suffix and portal; has URL
27899613,"NSDNA: a manually curated database of experimentally supported ncRNAs associated with nervous system diseases.",True,N,high,Title contains 'database'; has URL
31799597,"RNAactDrug: a comprehensive database of RNAs associated with drug sensitivity from multi-omics data.",True,N,high,Title contains 'database'; has URL
33095862,"ThermoMutDB: a thermodynamic database for missense mutations.",True,N,high,Database indicated by 'DB' suffix; has URL
26909679,"DsTRD: Danshen Transcriptional Resource Database.",True,N,high,Database indicated by 'D' suffix; has URL
23203870,"EENdb: a database and knowledge base of ZFNs and TALENs for endonuclease engineering.",True,N,high,Database indicated by 'db' suffix; has URL
30335169,"PopHumanScan: the online catalog of human genome adaptation.",True,N,high,Title describes 'catalog' of data; has URL
29961821,"SDADB: a functional annotation database of protein structural domains.",True,N,high,Database indicated by 'DB' suffix; has URL
30335176,"NucMap: a database of genome-wide nucleosome positioning map across species.",True,N,high,Title contains 'database'; has URL
25274736,"ViRBase: a resource for virus-host ncRNA-associated interactions.",True,N,high,Title contains 'resource' and 'Base' suffix; has URL
24297253,"MycoCosm portal: gearing up for 1000 fungal genomes.",True,N,high,Portal for fungal genome data; has URL
33276297,"DBCOVP: A database of coronavirus virulent glycoproteins.",True,N,high,Database indicated by 'DB' prefix; has URL
26211629,"PLNlncRbase: A resource for experimentally identified lncRNAs in plants.",True,N,high,Title contains 'resource' and 'base' suffix; has URL
32849839,"RIGD: A Database for Intronless Genes in the Rosaceae.",True,N,high,Database indicated by 'D' suffix; has URL
26519468,"ccmGDB: a database for cancer cell metabolism genes.",True,N,high,Database indicated by 'DB' suffix; has URL
32193291,"LncSpA: LncRNA Spatial Atlas of Expression across Normal and Cancer Tissues.",True,N,high,Title contains 'Atlas'; has URL
25979979,"DroughtDB: an expert-curated compilation of plant drought stress genes and their homologs in nine species.",True,N,high,Database indicated by 'DB' suffix; has URL
29939244,"PtRFdb: a database for plant transfer RNA-derived fragments.",True,N,high,Database indicated by 'db' suffix; has URL
33095860,"CNCDatabase: a database of non-coding cancer drivers.",True,N,high,Title explicitly contains 'Database'; has URL
26496949,"KLIFS: a structural kinase-ligand interaction database.",True,N,high,Title contains 'database'; has URL
26005672,"SPECTRA: An Integrated Knowledge Base for Comparing Tissue and Tumor-Specific PPI Networks in Human.",True,N,high,Title contains 'Knowledge Base'; has URL
29040751,"EpiDenovo: a platform for linking regulatory de novo mutations to developmental epigenetics and diseases.",True,N,high,Platform for data linking; has URL
34025933,"AddictGene: An integrated knowledge base for differentially expressed genes associated with addictive substance.",True,N,high,Title contains 'knowledge base'; has URL
34010390,"Integration of 1:1 orthology maps and updated datasets into Echinobase.",True,N,high,Integration into database (Echinobase); has URL
22923302,"HSPIR: a manually annotated heat shock protein information resource.",True,N,high,Title contains 'resource'; has URL
25270086,"PIGD: a database for intronless genes in the Poaceae.",True,N,high,Database indicated by 'D' suffix; has URL
27148975,"SpinachDB: A Well-Characterized Genomic Database for Gene Family Classification and SNP Information of Spinach.",True,N,high,Database indicated by 'DB' suffix; has URL
28365721,"PCPPI: a comprehensive database for the prediction of Penicillium-crop protein-protein interactions.",True,N,high,Title contains 'database'; has URL
23143105,"MonarchBase: the monarch butterfly genome database.",True,N,high,Title contains 'database' and 'Base' suffix; has URL
25913159,"ClosIndb: A resource for computationally derived information from clostridial genomes.",True,N,high,Title contains 'resource' and 'db' suffix; has URL
22829745,"CyanoEXpress: A web database for exploration and visualisation of the integrated transcriptome of cyanobacterium Synechocystis sp. PCC6803.",True,N,high,Title contains 'database'; has URL
22139942,"RecountDB: a database of mapped and count corrected transcribed sequences.",True,N,high,Database indicated by 'DB' suffix; has URL
29619235,"iMETHYL: an integrative database of human DNA methylation, gene expression, and genomic variation.",True,N,high,Title contains 'database'; has URL
25474259,"DBBP: database of binding pairs in protein-nucleic acid interactions.",True,N,high,Title contains 'database'; has URL
34244719,"TIDB: a comprehensive database of trained immunity.",True,N,high,Database indicated by 'DB' suffix; has URL
34174131,"CanVaS: Documenting the genetic variation spectrum of Greek cancer patients.",True,N,high,Title describes documenting/database of variations; has URL
31640808,"PGG.SNV: understanding the evolutionary and medical implications of human single nucleotide variations in diverse populations.",True,N,high,Database for understanding variations; has URL
25566299,"MeioBase: a comprehensive database for meiosis.",True,N,high,Title contains 'database' and 'Base' suffix; has URL
26868054,"CCSI: a database providing chromatin-chromatin spatial interaction information.",True,N,high,Title contains 'database'; has URL
26450962,"MEPD: medaka expression pattern database, genes and more.",True,N,high,Database indicated by 'D' suffix; has URL
34900127,"MIKB: A manually curated and comprehensive knowledge base for myocardial infarction.",True,N,high,Title contains 'knowledge base'; has URL
24170808,"MitoBreak: the mitochondrial DNA breakpoints database.",True,N,high,Title contains 'database'; has URL
34052284,"miREV: An Online Database and Tool to Uncover Potential Reference RNAs and Biomarkers in Small-RNA Sequencing Data Sets from Extracellular Vesicles Enriched Samples.",True,N,high,Title contains 'Database'; has URL
29529902,"BioPepDB: an integrated data platform for food-derived bioactive peptides.",True,N,high,Database indicated by 'DB' suffix and 'platform'; has URL
29483591,"GourdBase: a genome-centered multi-omics database for the bottle gourd (Lagenaria siceraria), an economically important cucurbit crop.",True,N,high,Title contains 'database' and 'Base' suffix; has URL
26946289,"dbPEC: a comprehensive literature-based database for preeclampsia related genes and phenotypes.",True,N,high,Database indicated by 'db' prefix; has URL
31691822,"DrLLPS: a data resource of liquid-liquid phase separation in eukaryotes.",True,N,high,Title contains 'resource'; has URL
"28977646, 31588507","VDJdb: a curated database of T-cell receptor sequences with known antigen specificity.",True,N,high,Database indicated by 'db' suffix; has URL
